,match_place,la,lo
braband,Brabant,51.6017723,5.4441391
brabander,Brabant,51.6017723,5.4441391
brabanders,Brabant,51.6017723,5.4441391
roomen,Rome,41.8933203,12.4829321
rooomen,Rome,41.8933203,12.4829321
roommen,Rome,41.8933203,12.4829321
roome,Rome,41.8933203,12.4829321
romen,Rome,41.8933203,12.4829321
rome,Rome,41.8933203,12.4829321
roemen,Rome,41.8933203,12.4829321
mechelen,Mechelen,51.028057,4.479713
mecchelen,Mechelen,51.028057,4.479713
mechele,Mechelen,51.028057,4.479713
machelen,Mechelen,51.028057,4.479713
mechel,Mechelen,51.028057,4.479713
mechelers,Mechelen,51.028057,4.479713
mechelaers,Mechelen,51.028057,4.479713
oostende,Oostende,51.2258565,2.919496
oosthende,Oostende,51.2258565,2.919496
oosteynde,Oostende,51.2258565,2.919496
oostenden,Oostende,51.2258565,2.919496
oost ende,Oostende,51.2258565,2.919496
ooostende,Oostende,51.2258565,2.919496
ostende,Oostende,51.2258565,2.919496
oosteijnde,Oostende,51.2258565,2.919496
oostehende,Oostende,51.2258565,2.919496
oost hende,Oostende,51.2258565,2.919496
orstende,Oostende,51.2258565,2.919496
oost eijnde,Oostende,51.2258565,2.919496
duytsche,Dutsen,52.270303,8.863339
duytscher,Dutsen,52.270303,8.863339
duytschen,Dutsen,52.270303,8.863339
duytsch,Dutsen,52.270303,8.863339
duytche,Dutsen,52.270303,8.863339
duytschs,Dutsen,52.270303,8.863339
duutsche,Dutsen,52.270303,8.863339
duutschen,Dutsen,52.270303,8.863339
duitschen,Dutsen,52.270303,8.863339
duytsen,Dutsen,52.270303,8.863339
duutsschen,Dutsen,52.270303,8.863339
duutssche,Dutsen,52.270303,8.863339
duijtschen,Dutsen,52.270303,8.863339
duijtsche,Dutsen,52.270303,8.863339
